"cases","city","city_council","day_of_week","ibr_code","location","occur_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL2009129","SALT LAKE CITY","7","5","13B","2200 S 1800 E                                                                                            ","01/01/2009","SUG","236","01/01/2009","4801-0","OBST POLICE","1906124","870636"
"SL2009140","SALT LAKE CITY","4","5","0","500 S 700 E                                                                                             ","01/01/2009","EAC","215","01/01/2009","5399-28","PUBLIC PEACE","1897439","883452"
"SL2009221","SALT LAKE CITY","4","5","290","800 S 500 E                                                                                             ","01/01/2009","CEC","214","01/01/2009","2902-1","DAMAGED PROP","1895845","881010"
"SL2009165","SALT LAKE CITY","5","5","0","200 W 900 S                                                                                             ","01/01/2009","PEF","114","01/01/2009","7399-1","PUBLIC ORDER","1889663","880410"
"SL2009227","SALT LAKE CITY","1","5","23F","1100 N REDWOOD RD                                                                                        ","01/01/2009","WES","131","01/01/2009","2305-0","LARCENY","1878571","896731"
"SL2009166","SALT LAKE CITY","4","5","90Z","500 S 300 W                                                                                             ","01/01/2009","PEF","114","01/01/2009","4902-0","ESCAPE","1889453","883588"
"SL2009167","SALT LAKE CITY","4","5","13B","500 S 300 W                                                                                             ","01/01/2009","PEF","114","01/01/2009","4801-1","OBST POLICE","1889453","883588"
"SL2009178","SALT LAKE CITY","3","5","290","400 N 200 W                                                                                             ","01/01/2009","CAH","111","01/01/2009","2902-1","DAMAGED PROP","1890275","891055"
"SL200962","SALT LAKE CITY","4","5","13C","300 S 300 E                                                                                             ","01/01/2009","CEC","113","01/01/2009","1316-2","ASSAULT","1894215","884775"
"SL2009220","SALT LAKE CITY","1","5","0","100 N 2400 W                                                                                            ","01/01/2009","JOM","133","01/01/2009","5399-28","PUBLIC PEACE","1873264","888645"
"SL2009259","SALT LAKE CITY","4","5","0","000 E 200 S                                                                                             ","01/01/2009","DTN","113","01/01/2009","2499-15","STOLEN VEHICLE","1892039","886009"
"SL2009142","SALT LAKE CITY","2","5","0","1900 W CALIFORNIA AVE                                                                                    ","01/01/2009","WSL","154","01/01/2009","5399-28","PUBLIC PEACE","1876442","877087"
"SL2009187","SALT LAKE CITY","4","5","0","300 S 600 W                                                                                             ","01/01/2009","DTN","112","01/01/2009","5399-23","PUBLIC PEACE","1887084","885181"
"SL2009191","SALT LAKE CITY","4","5","0","500 S MAIN ST                                                                                           ","01/01/2009","PEF","115","01/01/2009","7399-5","PUBLIC ORDER","1891889","883171"
"SL2009209","SALT LAKE CITY","4","5","0","300 S 600 W                                                                                             ","01/01/2009","DTN","112","01/01/2009","5399-87","PUBLIC PEACE","1887084","885181"
"SL2009237","SALT LAKE CITY","2","5","23F","4000 W 1820 S                                                                                            ","01/01/2009","WSL","154","01/01/2009","2305-0","LARCENY","1864841","873679"
"SL2009246","SALT LAKE CITY","1","5","90Z","900 N 1200 W                                                                                            ","01/01/2009","ROP","131","01/01/2009","4902-0","ESCAPE","1882406","894995"
"SL200974","SALT LAKE CITY","4","5","23F","800 S MAIN ST                                                                                           ","01/01/2009","PEF","115","01/01/2009","2305-0","LARCENY","1891822","881202"
"SL2009213","SALT LAKE CITY","4","5","90Z","800 S 1000 E                                                                                            ","01/01/2009","EAC","215","01/01/2009","4902-0","ESCAPE","1899853","880991"
"SL200980","SALT LAKE CITY","4","5","23F","800 S STATE ST                                                                                          ","01/01/2009","PEF","115","01/01/2009","2305-0","LARCENY","1892615","881206"
"SL2009219","SALT LAKE CITY","3","5","0","200 E SOUTH TEMPLE ST                                                                                   ","01/01/2009","AVE","211","01/01/2009","7399-24","PUBLIC ORDER","1893488","887587"
"SL2009235","SALT LAKE CITY","6","5","90Z","1600 S FOOTHILL DR                                                                                       ","01/01/2009","EAB","233","01/01/2009","3599-1","DRUGS","1911301","874713"
