"address","case","city","council","day_of_week","ibr_code","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"1900 S 1200 E","SL2013116","SALT LAKE CITY","7","3","90F","2013-01-01T03:00:00.000","163","Z6","2013-01-01T03:00:00.000","3806-0","FAMILY OFFENSES","1901361","872080"
"200 S 400 W","SL2013272","SALT LAKE CITY","4","3","90J","2013-01-01T13:02:00.000","132","Z3","2013-01-01T13:02:00.000","5707-0","INV OF PRIVACY","1888728","885294"
"200 W 400 S","SL2013297","SALT LAKE CITY","4","3","0","2013-01-01T14:32:00.000","132","Z3","2013-01-01T14:32:00.000","5499-8","TRAFFIC","1890267","884431"
"1500 S MAJOR ST","SL20133323","SALT LAKE CITY","5","3","13A","2013-01-01T02:30:00.000","152","Z5","2013-01-07T15:29:00.000","1306-0","ASSAULT","1892200","875749"
"1100 E 700 S","SL20133520","SALT LAKE CITY","4","3","240","2013-01-01T18:00:00.000","151","Z5","2013-01-07T23:06:00.000","2499-13","STOLEN VEHICLE","1901180","882014"
"1300 N BECK ST","SL20134234","SALT LAKE CITY","3","3","220","2013-01-01T03:00:00.000","131","Z3","2013-01-09T11:31:00.000","2203-0","BURGLARY","1887201","897999"
"1400 N MORTON DR","SL2013800027","SALT LAKE CITY","1","3","0","2013-01-01T19:50:00.000","111","Z1","2013-01-07T10:14:00.000","7399-6","PUBLIC ORDER","1876361","899220"
"1000 S LAKE ST","SL20136585","SALT LAKE CITY","5","3","90F","2013-01-01T18:02:00.000","153","Z5","2013-01-13T18:02:00.000","3806-0","FAMILY OFFENSES","1897821","879347"
"00 S WOLCOTT ST","SL2013271","SALT LAKE CITY","3","3","23F","2013-01-01T12:58:00.000","141","Z4","2013-01-01T12:58:00.000","2305-0","LARCENY","1903506","886846"
"1500 S WEST TEMPLE ST","SL20137361","SALT LAKE CITY","5","3","0","2013-01-01T12:00:00.000","152","Z5","2013-01-15T09:45:00.000","5399-28","PUBLIC PEACE","1891005","875450"
"1600 W NORTH TEMPLE ST","SL20137473","SALT LAKE CITY","2","3","250","2013-01-01T12:00:00.000","112","Z1","2013-01-15T14:44:00.000","2507-0","FORGERY","1878704","888447"
"300 W HOPE AVE","SL20138090","SALT LAKE CITY","5","3","26B","2013-01-01T07:52:00.000","152","Z5","2013-01-01T07:52:00.000","2605-0","FRAUD","1889051","876511"
"4600 S 900 E","SL20138091","WEST MILLCREEK","SL","3","26B","2013-01-01T08:23:00.000","7","7","2013-01-16T17:55:00.000","2605-0","FRAUD","1899295","851191"
"800 S 1300 E","SL20138092","SALT LAKE CITY","4","3","26B","2013-01-01T06:51:00.000","151","Z5","2013-01-16T17:55:00.000","2605-0","FRAUD","1902127","881177"
"4500 S HIGHLAND DR","SL20138093","WEST MILLCREEK","SL","3","26B","2013-01-01T09:04:00.000","7","7","2013-01-16T17:56:00.000","2605-0","FRAUD","1905496","852227"
